doc_id,clause_text,label,explanation
contract_31231,"All fees paid by Client hereunder are non-refundable under any and all circumstances, including but not limited to: (a) termination of this Agreement by either party for any reason; (b) breach of this Agreement by Provider; (c) force majeure events; (d) Client's dissatisfaction with the Services; (e) Client's inability to use the Services; or (f) any other reason whatsoever. Client acknowledges and agrees that no refunds, credits, or reimbursements will be provided under any circumstances.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_11634,"Provider may terminate this Agreement at any time, for any reason or no reason, with or without cause, immediately upon written notice to Purchaser, without liability, penalty, or obligation of any kind. Upon such termination, Purchaser shall immediately cease all use of the Services and return or destroy all Confidential Information.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_75739,"This Agreement shall automatically renew for successive periods of one (1) year each unless either party provides written notice of non-renewal at least ninety (90) days prior to the expiration of the then-current term. In the event of early termination by Client for any reason other than Provider's material breach, Client shall pay to Provider all remaining fees due under this Agreement for the entire term, plus a termination fee equal to fifty percent (50%) of the annual contract value, which Client acknowledges is a reasonable estimate of Provider's damages and not a penalty.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_75660,"Provider shall not be liable for any loss, corruption, destruction, alteration, or unauthorized access to Client data, information, or content, regardless of the cause, including but not limited to system failures, security breaches, cyber attacks, acts of third parties, force majeure events, or Provider's negligence. Client acknowledges that it is solely responsible for maintaining adequate backups of all Client data and that Provider has no obligation to maintain, store, or backup Client data.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_22692,"Any dispute, controversy, or claim arising out of or relating to this Agreement, or the breach, termination, or validity thereof, shall be settled exclusively by binding arbitration in accordance with the Commercial Arbitration Rules of the American Arbitration Association. The arbitration shall be conducted in Chicago, Illinois, and the arbitrator's decision shall be final and binding. The parties hereby waive any right to a jury trial and agree that arbitration shall be the sole and exclusive remedy for any disputes. Each party shall bear its own costs and attorneys' fees.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_29421,"Client hereby waives, to the fullest extent permitted by applicable law, any and all rights, claims, or causes of action it may have against Provider, including but not limited to rights to a jury trial, rights to participate in class actions, rights to seek punitive or exemplary damages, and any other rights that may be available under applicable law.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_98065,"In the event of any breach of this Agreement by Client, including but not limited to failure to make timely payment, unauthorized use of the Services, or violation of any term or condition hereof, Client shall pay to Provider as liquidated damages and not as a penalty, an amount equal to one hundred percent (100%) of the total contract value, which amount the parties agree represents a reasonable estimate of the damages that Provider would incur as a result of such breach.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_79519,"Provider reserves the right, in its sole and absolute discretion, without prior notice or liability to Client or any third party, to modify, suspend, discontinue, or terminate the Services, or any portion thereof, at any time, for any reason or no reason, including but not limited to maintenance, updates, or business decisions. Provider shall not be liable for any damages, losses, or expenses incurred by Client as a result of such modification, suspension, discontinuation, or termination.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_86173,"The Service Provider shall indemnify, defend, and hold harmless the Client, its affiliates, officers, directors, employees, agents, and successors from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including reasonable attorneys' fees and costs) of any kind whatsoever, whether known or unknown, arising out of or relating to this Agreement, the Services, or any breach thereof, without limitation or exception.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_45576,"This Agreement shall be governed by and construed in accordance with the laws of the State of Florida, without regard to its conflict of law principles. Any legal action or proceeding arising under or relating to this Agreement shall be brought exclusively in the federal or state courts located in Florida, and the parties hereby irrevocably consent to the personal jurisdiction and venue of such courts. The parties waive any objection to such jurisdiction and venue.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
contract_72889,"This Agreement shall be governed by and construed in accordance with the laws of the State of Delaware, without regard to its conflict of law principles. Any legal action or proceeding arising under or relating to this Agreement shall be brought exclusively in the federal or state courts located in Delaware, and the parties hereby irrevocably consent to the personal jurisdiction and venue of such courts. The parties waive any objection to such jurisdiction and venue.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk."
