clause_text,label
"The Employee agrees to maintain strict confidentiality of all proprietary information, trade secrets, and confidential data of the Employer during and after the term of employment.",LOW
"The Employee's employment with the Employer shall commence on 7 October, 2021 and shall continue until terminated in accordance with the terms of this Agreement. The Employee shall be employed in the position of Software Engineer and shall report to VP.",LOW
"The Licensee agrees to pay license fees as set forth in Schedule B, payable in advance on an annual basis. All fees are exclusive of applicable GST.",LOW
"This Agreement will automatically renew for additional periods equal to the expiring term or one year (whichever is shorter), unless either party gives the other notice of non-renewal at least 30 days before the end of the relevant term. If Customer terminates this Agreement before the end of the then-current term, Customer will remain responsible for all fees payable for the remainder of the term, and Provider may charge Customer a termination fee equal to 75% of the remaining contract value.",MEDIUM
"Subject to the terms and conditions of this Agreement, the Licensor hereby grants to the Licensee a non-exclusive, non-transferable license to use the Software described in Schedule A for the term specified herein.",LOW
"The Employee's compensation shall be INR 20000 per month, payable on the last working day of each month. The Employee shall also be entitled to such bonuses and benefits as may be determined by the Employer from time to time.",LOW
"The Buyer agrees to purchase from the Seller, and the Seller agrees to sell to the Buyer, the goods described in Schedule A (the 'Goods') for a total purchase price of INR 15000, inclusive of all taxes as applicable under Indian law.",LOW
"If any provision of this Agreement is held to be invalid, illegal, or unenforceable by a court of competent jurisdiction in India, the remaining provisions shall remain in full force and effect.",MEDIUM
Each party agrees to maintain the confidentiality of all Confidential Information received from the other party during the term of this Agreement and for a period of five (5) years thereafter.,LOW
"THIS NON-DISCLOSURE AGREEMENT is entered into on 14 March, 2022 at Hyderabad, India BETWEEN ABC Corporation (hereinafter referred to as the 'Disclosing Party') AND Consulting Firm (hereinafter referred to as the 'Receiving Party').",LOW
"Tenant agrees to indemnify and hold Landlord harmless from any claims, losses, liabilities, or expenses (including legal fees) arising from Tenant's use of the premises, including claims arising from Landlord's own negligence unless caused by Landlord's willful misconduct.",HIGH
Title to the Goods shall pass to the Buyer upon delivery to the Buyer's designated location. Risk of loss shall pass to the Buyer upon delivery.,LOW
The Landlord reserves the right to modify or amend any term of this Agreement at any time by providing written notice to the Tenant; such modifications shall become effective 14 days after notice is given.,HIGH
"All fees paid by Customer are non-refundable. Customer acknowledges that Provider has no obligation to refund any fees under any circumstances, including but not limited to: (i) termination of this Agreement by either party for any reason; (ii) Customer's dissatisfaction with the Services; (iii) Customer's inability to access or use the Services; or (iv) any other reason.",MEDIUM
"The name of the partnership firm shall be 'ABC & Associates' and the principal place of business shall be at 123 MG Road, Bangalore, Delhi 400001, Mumbai, Maharashtra, India.",LOW
"The Employee's compensation shall be INR 20000 per month, payable on the last working day of each month. The Employee shall also be entitled to such bonuses and benefits as may be determined by the Employer from time to time.",LOW
"The Receiving Party agrees to hold and maintain the Confidential Information in strict confidence and not to disclose it to any third party without the prior written consent of the Disclosing Party, except as required by applicable Indian law.",LOW
"The Client agrees to pay the Service Provider fees as set forth in Schedule B attached hereto, payable within 30 days of receipt of invoice. All amounts are exclusive of applicable GST as per Indian tax laws.",LOW
"The Receiving Party agrees to hold and maintain the Confidential Information in strict confidence and not to disclose it to any third party without the prior written consent of the Disclosing Party, except as required by applicable Indian law.",LOW
"If any provision of this Agreement is held to be invalid, illegal, or unenforceable by a court of competent jurisdiction in India, the remaining provisions shall remain in full force and effect.",MEDIUM
"THIS EMPLOYMENT AGREEMENT is entered into on 28 March, 2022 at Jaipur, India BETWEEN ABC Technologies Pvt. Ltd., a company incorporated under the Companies Act, 2013, having its registered office at 123 MG Road, Hyderabad, West Bengal 400001 (hereinafter referred to as the 'Employer') AND Ms. Sneha Reddy, residing at 123 MG Road, Hyderabad, West Bengal 400001 (hereinafter referred to as the 'Employee').",LOW
"All notices required or permitted under this Agreement shall be in writing and shall be deemed given when delivered personally, sent by registered post, or sent by email to the addresses specified in this Agreement.",MEDIUM
"Any dispute arising under this Agreement shall be resolved exclusively by the courts located in Bangalore, Rajasthan, India. The prevailing party shall be entitled to recover reasonable attorneys' fees and costs.",HIGH
"The Partners hereby agree to form a partnership firm under the Indian Partnership Act, 1932, for the purpose of carrying on the business of software development.",LOW
"THIS AGREEMENT is entered into on this __ day of ___, 20__ between [Company Name], a corporation organized and existing under the laws of [State], with its principal office located at [Address] (hereinafter referred to as 'Company'), and [Other Party], a [entity type] organized and existing under the laws of [State] (hereinafter referred to as 'Client').",LOW
The Service Provider agrees to provide the services described in Schedule A attached hereto in accordance with the terms and conditions of this Agreement and applicable Indian laws.,LOW
"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The parties waive any right to a jury trial.",MEDIUM
"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The parties waive any right to a jury trial.",MEDIUM
The Service Provider agrees to provide the services described in Schedule A attached hereto in accordance with the terms and conditions of this Agreement and applicable Indian laws.,LOW
"This Agreement shall be governed by and construed in accordance with the laws of India. Any disputes arising out of or in connection with this Agreement shall be subject to the exclusive jurisdiction of the courts in Bangalore, Tamil Nadu, India.",HIGH
"NOW, THEREFORE, in consideration of the mutual covenants and agreements contained herein, the parties agree as follows:",LOW
"All fees paid by Customer are non-refundable. Customer acknowledges that Provider has no obligation to refund any fees under any circumstances, including but not limited to: (i) termination of this Agreement by either party for any reason; (ii) Customer's dissatisfaction with the Services; (iii) Customer's inability to access or use the Services; or (iv) any other reason.",MEDIUM
The capital contribution of each Partner shall be as set forth in Schedule B attached hereto. Profits and losses shall be shared equally among the Partners unless otherwise agreed.,LOW
"The Partners hereby agree to form a partnership firm under the Indian Partnership Act, 1932, for the purpose of carrying on the business of software development.",LOW
"WHEREAS the Client desires to engage the Service Provider to provide consulting services services, and the Service Provider is willing to provide such services, the parties agree as follows:",LOW
