clause_text,label
THIS AGREEMENT has been executed on the date first written above by and between Employer (hereinafter called 'employer') and Employee (hereinafter called 'employee').,LOW
"In consideration of the mutual promises and covenants contained herein, the parties agree to the following terms and conditions.",LOW
"In consideration of the mutual promises and covenants contained herein, the parties agree to the following terms and conditions.",LOW
"THIS LIMITATION WILL APPLY REGARDLESS OF THE THEORY OF LIABILITY, WHETHER BASED ON CONTRACT, TORT (INCLUDING NEGLIGENCE), STRICT LIABILITY, OR OTHERWISE.",LOW
"THIS AGREEMENT is entered into on this 21 day of October, 2014 between Institute, a educational institution organized under the laws of Delaware, and Service Provider, a service company organized under the laws of Delaware.",LOW
"THIS AGREEMENT has been made on this 10 day of February, 2011 at Mumbai BETWEEN Company (hereinafter referred to as the company) AND Customer (hereinafter referred to as the customer).",LOW
WHEREAS the Parties desire to enter into this Agreement to set forth the terms and conditions governing their business relationship.,LOW
"NOW, THEREFORE, in consideration of the mutual covenants and agreements contained herein, the parties agree as follows:",LOW
"""Agreement"" means this document, including all schedules, exhibits, and appendices attached hereto, as may be amended from time to time.",LOW
"THIS AGREEMENT has been executed on the date first written above by and between [Party A], a [entity type] having its registered office at [Address] (hereinafter called 'Party A'), and [Party B], a [entity type] having its registered office at [Address] (hereinafter called 'Party B').",LOW
"IN WITNESS WHEREOF, the parties have executed this Agreement as of the date first written above.",LOW
"Provider may terminate this Agreement immediately, without notice, for any reason or no reason, in its sole discretion, without liability to Customer. Upon such termination, Customer will immediately cease all use of the Services and return or destroy all Confidential Information. Provider will not be required to refund any fees paid by Customer.",LOW
"NOW, THEREFORE, in consideration of the mutual covenants and agreements contained herein, the parties agree as follows:",LOW
"In consideration of the mutual promises and covenants contained herein, the parties agree to the following terms and conditions.",LOW
"NOW, THEREFORE, in consideration of the mutual covenants and agreements contained herein, the parties agree as follows:",LOW
The Employer shall pay the Employee such sums as shall become payable hereunder at the time and in the manner specified in the said conditions.,LOW
"THIS AGREEMENT has been made on this __th day of October, 2012 at IIT Kanpur BETWEEN Indian Institute of Technology Kanpur (hereinafter referred to as the Institute) incorporated as a body of corporate under the Institute of Technology Act, 1961, through its Director (represented by Dean of Students' Affairs, Chairman, Council of Wardens & Warden-in-Charge/Warden of Hall of Residence No.-__.)",LOW
The Institute shall pay the Service Provider such sums as shall become payable hereunder at the time and in the manner specified in the said conditions. 3,LOW
This Agreement shall commence on the Effective Date and shall continue until terminated in accordance with the provisions hereof.,LOW
"NOW, THEREFORE, the parties hereto, intending to be legally bound, hereby agree as follows:",LOW
"This draft agreement is subject to change/fine tuning before final award of the contract THIS AGREEMENT has been made on this __th day of October, 2012 at IIT Kanpur BETWEEN Indian Institute of Technology Kanpur (hereinafter referred to as the Institute) incorporated as a body of corporate under the Institute of Technology Act, 1961, through its Director (represented by Dean of Students' Affairs, Chairman, Council of Wardens & Warden-in-Charge/Warden of Hall of Residence No.-__.) AND M/s __________ registered under ________________________ and having it's office at __________________________________________________ (hereinafter referred to as The Service Provider which expression shall include his/their respective heirs, executors, administrators and assignees), represented by _____________________________ on the other part",LOW
The Company shall pay the Customer such sums as shall become payable hereunder at the time and in the manner specified in the said conditions.,LOW
"Any notice required or permitted to be given under this Agreement shall be in writing and shall be deemed to have been given when delivered personally, sent by certified mail, or sent by email to the addresses set forth in this Agreement.",LOW
"This Agreement shall be governed by and construed in accordance with the laws of [State], without regard to its conflict of law principles.",LOW
"The following terms, when used in this Agreement, shall have the meanings set forth in this Section:",LOW
"Any attempted assignment, transfer, or delegation without such consent will be null and void and of no force or effect.",LOW
"""Agreement"" means this document, including all schedules, exhibits, and appendices attached hereto, as may be amended from time to time.",LOW
"The Provider shall pay the Recipient the fees as set forth in Schedule A attached hereto, in accordance with the payment terms specified therein.",MEDIUM
"In consideration of the payments to be made to the Licensee, as hereinafter provided and agreed to by both the parties, the Licensee shall upon and subject to the said condition execute and complete the contract.",LOW
"THIS AGREEMENT has been made on this 14 day of November, 2013 at Kanpur BETWEEN Provider (hereinafter referred to as the provider) AND Recipient (hereinafter referred to as the recipient).",LOW
WHEREAS the Lessor is engaged in the business of consulting services and desires to engage the services of the Lessee.,LOW
The Quality of performance related to the work is the essence of the Contract and in the event of failure to perform as per term and conditions of the Contract and to the satisfaction of the Institute; the Service Provider shall be penalized as per provisions of the Contract. 4,HIGH
"WHEREAS Institute has decided as per the terms and conditions, specifications and general conditions of the contract, as attached along with this agreement.",LOW
"THIS AGREEMENT has been made on this 7 day of October, 2011 at California BETWEEN Institute (hereinafter referred to as the institute) AND Service Provider (hereinafter referred to as the service_provider).",LOW
THIS AGREEMENT has been executed on the date first written above by and between Institute (hereinafter called 'institute') and Service Provider (hereinafter called 'service_provider').,LOW
"WHEREAS the Client wishes to engage the services of the Provider, and the Provider is willing to provide such services, subject to the terms and conditions set forth herein.",LOW
"In consideration of the mutual promises and covenants contained herein, the parties agree to the following terms and conditions.",LOW
NOW therefore it is hereby agreed as follows:,LOW
