clause_text,label
"THIS AGREEMENT is entered into on this 2 day of May, 2024 between Company, a corporation organized under the laws of Tamil Nadu, and Customer, a partnership organized under the laws of Tamil Nadu.",LOW
"THIS AGREEMENT is entered into on this 19 day of November, 2021 between Client, a corporation organized under the laws of California, and Service Provider, a LLC organized under the laws of California.",LOW
"In the event of any material breach of this Agreement by Customer, Customer shall pay to Provider, as liquidated damages and not as a penalty, an amount equal to the greater of: (a) 100% of the total fees payable under this Agreement, or (b) $500000.",HIGH
"Tenant shall maintain at their expense renter's insurance covering personal property and liability, with minimum liability coverage of INR 15000. Landlord's insurance will not cover Tenant's personal belongings.",LOW
"Tenant agrees to indemnify and hold Landlord harmless from any claims, losses, liabilities, or expenses (including legal fees) arising from Tenant's use of the premises, including claims arising from Landlord's own negligence unless caused by Landlord's willful misconduct.",HIGH
Tenant shall pay monthly rent of INR 15000 on or before the 25th day of each calendar month by bank transfer to the Landlord's designated account.,LOW
"WHEREAS the Company is engaged in the business of technology services and desires to engage the services of the Customer, the parties agree as follows:",LOW
"Neither party shall be liable for delays or failures to perform due to events beyond their reasonable control, including natural disasters, government actions, pandemics, war, terrorism, or acts of God.",LOW
"THIS AGREEMENT has been made on this 20 day of January, 2024 at Chennai BETWEEN Employer (hereinafter referred to as the 'employer') AND Employee (hereinafter referred to as the 'employee').",LOW
"Tenant shall be responsible for payment of electricity, water, gas, internet, and any other utilities unless otherwise stated in writing. Shared building services will be charged proportionally when applicable.",LOW
"Customer shall indemnify, defend, and hold harmless Provider and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to Customer's breach of this Agreement, without limitation or exception, including claims arising from Provider's own negligence.",HIGH
"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The parties waive any right to a jury trial.",MEDIUM
"WHEREAS the Employer is engaged in the business of consulting services and desires to engage the services of the Employee, the parties agree as follows:",LOW
"Tenant agrees to indemnify and hold Landlord harmless from any claims, losses, liabilities, or expenses (including legal fees) arising from Tenant's use of the premises, including claims arising from Landlord's own negligence unless caused by Landlord's willful misconduct.",HIGH
Each party agrees to maintain the confidentiality of all Confidential Information received from the other party during the term of this Agreement and for a period of 1 years thereafter.,LOW
"Provider shall be indemnified by Customer for all losses, including those resulting from Provider's own negligence, gross negligence, or willful misconduct.",LOW
"Tenant shall not sublet, assign, or transfer the premises or any part thereof without the prior written consent of the Landlord, which shall not be unreasonably withheld. Any unauthorized subletting shall constitute a breach of this Agreement.",MEDIUM
"If Customer terminates this Agreement before the end of the then-current term, Customer will be responsible for 2% of the remaining fees.",LOW
"Tenant shall maintain at their expense renter's insurance covering personal property and liability, with minimum liability coverage of INR 30000. Landlord's insurance will not cover Tenant's personal belongings.",LOW
"WHEREAS the Company is engaged in the business of consulting services and desires to engage the services of the Customer, the parties agree as follows:",LOW
"This Agreement may be executed in counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument.",LOW
"THIS AGREEMENT is entered into on this 17 day of May, 2024 between Company, a corporation organized under the laws of California, and Customer, a partnership organized under the laws of California.",LOW
"Tenant is responsible for routine upkeep and minor repairs (e.g., light bulbs, faucets). Landlord will be responsible for major structural, electrical, and plumbing repairs unless damage is caused by Tenant's negligence.",LOW
"Tenant shall be responsible for payment of electricity, water, gas, internet, and any other utilities unless otherwise stated in writing. Shared building services will be charged proportionally when applicable.",LOW
"Provider shall be indemnified by Customer for all losses, including those resulting from Provider's own negligence, gross negligence, or willful misconduct.",LOW
"If rent is not received by the 15th, Tenant shall pay a late fee equal to 10% of the monthly rent per week until payment is made, capped at 20% of the monthly rent.",HIGH
"Tenant shall not make any structural alterations, install fixtures, or make improvements without prior written consent of the Landlord. Any approved fixtures affixed by Tenant shall become the property of the Landlord at lease end unless otherwise agreed in writing.",MEDIUM
"This Agreement may be executed in counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument.",LOW
"Tenant shall maintain at their expense renter's insurance covering personal property and liability, with minimum liability coverage of INR 25000. Landlord's insurance will not cover Tenant's personal belongings.",LOW
This Agreement shall be governed by and construed in accordance with the laws of Delhi.,LOW
"No pets are permitted without the Landlord's prior written consent. If permitted, Tenant must pay a refundable pet deposit of 2000 and is responsible for any damage or nuisance caused by the pet.",MEDIUM
The Landlord reserves the right to modify or amend any term of this Agreement at any time by providing written notice to the Tenant; such modifications shall become effective 14 days after notice is given.,HIGH
"THIS AGREEMENT is entered into on this 4 day of May, 2020 between Employer, a corporation organized under the laws of Maharashtra, and Employee, a individual organized under the laws of Maharashtra.",LOW
"THIS AGREEMENT is entered into on this 25 day of September, 2024 between Client, a corporation organized under the laws of New York, and Service Provider, a LLC organized under the laws of New York.",LOW
"Any dispute arising under this Agreement shall be resolved exclusively by the courts located in Delhi, Singapore. The prevailing party shall be entitled to recover reasonable attorneys' fees and costs.",HIGH
"The Landlord or their agents may enter the premises at any time, without prior notice, for inspection, repairs, or to show the property to prospective tenants or buyers.",HIGH
"NOW, THEREFORE, in consideration of the mutual covenants and agreements contained herein, the parties agree as follows:",LOW
"Tenant shall not sublet, assign, or transfer the premises or any part thereof without the prior written consent of the Landlord, which shall not be unreasonably withheld. Any unauthorized subletting shall constitute a breach of this Agreement.",MEDIUM
"The monthly rent for the premises shall be $10000, payable in advance on the first day of each month.",LOW
"All fees paid by Customer are non-refundable. Customer acknowledges that Provider has no obligation to refund any fees under any circumstances, including but not limited to: (i) termination of this Agreement by either party for any reason; (ii) Customer's dissatisfaction with the Services; (iii) Customer's inability to access or use the Services; or (iv) any other reason.",MEDIUM
"Landlord may increase rent annually by up to 5% or by the change in the Consumer Price Index (CPI), whichever is lower, upon providing 30 days' written notice prior to the effective increase.",MEDIUM
"If Customer terminates this Agreement before the end of the then-current term, Customer will remain responsible for all fees payable for the remainder of the term, and Provider may charge Customer a termination fee equal to 75% of the remaining contract value.",MEDIUM
This Agreement shall automatically renew for successive one-year periods unless either party provides written notice of termination at least 60 days prior to the expiration of the then-current term.,MEDIUM
The headings in this Agreement are for convenience only and shall not affect the interpretation of this Agreement.,LOW
This Agreement shall be governed by and construed in accordance with the laws of Tamil Nadu.,LOW
This Agreement shall be governed by and construed in accordance with the laws of Maharashtra.,LOW
"Tenant shall be responsible for payment of electricity, water, gas, internet, and any other utilities unless otherwise stated in writing. Shared building services will be charged proportionally when applicable.",LOW
"Provider shall be indemnified by Customer for all losses, including those resulting from Provider's own negligence, gross negligence, or willful misconduct.",LOW
"Tenant shall maintain at their expense renter's insurance covering personal property and liability, with minimum liability coverage of INR 25000. Landlord's insurance will not cover Tenant's personal belongings.",LOW
"The monthly rent for the premises shall be $25000, payable in advance on the first day of each month.",LOW
"Tenant shall pay a security deposit equal to 3 months' rent. Landlord may deduct for unpaid rent, repairs for damages beyond normal wear and tear, and unpaid utilities. The deposit shall be returned within 60 days after tenancy termination, less any lawful deductions, with an itemized statement.",MEDIUM
"If rent is not received by the 15th, Tenant shall pay a late fee equal to 2% of the monthly rent per week until payment is made, capped at 20% of the monthly rent.",HIGH
"Neither party shall be liable for delays or failures to perform due to events beyond their reasonable control, including natural disasters, government actions, pandemics, war, terrorism, or acts of God.",LOW
"Neither party shall be liable for delays or failures to perform due to events beyond their reasonable control, including natural disasters, government actions, pandemics, war, terrorism, or acts of God.",LOW
"Tenant is responsible for routine upkeep and minor repairs (e.g., light bulbs, faucets). Landlord will be responsible for major structural, electrical, and plumbing repairs unless damage is caused by Tenant's negligence.",LOW
The headings in this Agreement are for convenience only and shall not affect the interpretation of this Agreement.,LOW
"Tenant shall pay a security deposit equal to 3 months' rent. Landlord may deduct for unpaid rent, repairs for damages beyond normal wear and tear, and unpaid utilities. The deposit shall be returned within 60 days after tenancy termination, less any lawful deductions, with an itemized statement.",MEDIUM
"THIS AGREEMENT is entered into on this 24 day of April, 2022 between Client, a corporation organized under the laws of California, and Service Provider, a LLC organized under the laws of California.",LOW
"Tenant shall pay a security deposit equal to 1 months' rent. Landlord may deduct for unpaid rent, repairs for damages beyond normal wear and tear, and unpaid utilities. The deposit shall be returned within 90 days after tenancy termination, less any lawful deductions, with an itemized statement.",MEDIUM
"Either party may terminate this Agreement with 60 days' written notice. If Tenant terminates before the lease term ends without Landlord's consent, Tenant shall be liable for rent until the premises are re-let or for 2 months' rent, whichever is lesser.",MEDIUM
"Tenant shall be responsible for payment of electricity, water, gas, internet, and any other utilities unless otherwise stated in writing. Shared building services will be charged proportionally when applicable.",LOW
"Provider's total liability for any claims arising out of or relating to this Agreement shall not exceed $2000 or the amount paid by Customer in the 1 months preceding the claim, whichever is less.",LOW
WHEREAS the parties desire to enter into this Agreement to set forth the terms and conditions governing their business relationship.,LOW
"WHEREAS the Landlord is engaged in the business of real estate and desires to engage the services of the Tenant, the parties agree as follows:",LOW
"Either party may terminate this Agreement with 45 days' written notice, and Tenant must vacate immediately upon termination.",MEDIUM
"NOW, THEREFORE, in consideration of the mutual covenants and agreements contained herein, the parties agree as follows:",LOW
"In the event of any material breach of this Agreement by Customer, Customer shall pay to Provider, as liquidated damages and not as a penalty, an amount equal to the greater of: (a) 100% of the total fees payable under this Agreement, or (b) $500000.",HIGH
"Tenant is responsible for routine upkeep and minor repairs (e.g., light bulbs, faucets). Landlord will be responsible for major structural, electrical, and plumbing repairs unless damage is caused by Tenant's negligence.",LOW
"This Agreement may be executed in counterparts, each of which shall be deemed an original, but all of which together shall constitute one and the same instrument.",LOW
"If rent is not received by the 10th, Tenant shall pay a late fee equal to 3% of the monthly rent per week until payment is made, capped at 10% of the monthly rent.",HIGH
The headings in this Agreement are for convenience only and shall not affect the interpretation of this Agreement.,LOW
"Tenant shall not sublet, assign, or transfer the premises or any part thereof without the prior written consent of the Landlord, which shall not be unreasonably withheld. Any unauthorized subletting shall constitute a breach of this Agreement.",MEDIUM
"Provider's total liability for any claims arising out of or relating to this Agreement shall not exceed $500 or the amount paid by Customer in the 3 months preceding the claim, whichever is less.",LOW
The Landlord reserves the right to modify or amend any term of this Agreement at any time by providing written notice to the Tenant; such modifications shall become effective 45 days after notice is given.,HIGH
