doc_id,clause_text,label,explanation
contract_950852,"Any dispute, controversy, or claim arising out of or relating to this Contract, including the formation, interpretation, breach, or termination thereof, including whether the claims asserted are arbitrable, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The arbitration will be conducted by a single arbitrator. The place of arbitration will be New York, New York. The language of the arbitration will be English. Judgment upon the award rendered by the arbitrator may be entered in any court having jurisdiction thereof. The parties waive any right to a jury trial.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_102179,"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, including whether the claims asserted are arbitrable, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The arbitration will be conducted by a single arbitrator. The place of arbitration will be New York, New York. The language of the arbitration will be English. Judgment upon the award rendered by the arbitrator may be entered in any court having jurisdiction thereof. The parties waive any right to a jury trial.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_623389,"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, including whether the claims asserted are arbitrable, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The arbitration will be conducted by a single arbitrator. The place of arbitration will be New York, New York. The language of the arbitration will be English. Judgment upon the award rendered by the arbitrator may be entered in any court having jurisdiction thereof. The parties waive any right to a jury trial.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_774420,"Customer may not assign, transfer, or delegate this Agreement or any of its rights or obligations hereunder without Provider's prior written consent, which may be withheld in Provider's sole and absolute discretion. Any attempted assignment, transfer, or delegation without such consent will be null and void and of no force or effect. Provider may assign this Agreement without Customer's consent.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_937714,"In the event of any material breach of this Agreement by Customer, including without limitation failure to pay any amount when due, Customer shall pay to Provider, as liquidated damages and not as a penalty, an amount equal to the greater of: (a) 100% of the total fees payable under this Agreement, or (b) $500,000. The parties acknowledge that Provider's actual damages in the event of such breach would be difficult to calculate and that the amount set forth above represents a reasonable estimate of such damages.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_830842,"Customer hereby waives, to the fullest extent permitted by applicable law, any and all rights it may have against Provider, including without limitation: (a) the right to a trial by jury; (b) the right to participate in a class action lawsuit; (c) the right to seek punitive or exemplary damages; (d) the right to seek injunctive relief (except as expressly provided herein); and (e) any other rights that may be available under applicable law. This waiver will survive the termination of this Contract.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_794157,"Provider may terminate this Agreement immediately, without notice, for any reason or no reason, in its sole discretion, without liability to Customer. Upon such termination, Customer will immediately cease all use of the Services and return or destroy all Confidential Information. Provider will not be required to refund any fees paid by Customer, and Customer will remain liable for all fees accrued through the date of termination.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_942137,"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, including whether the claims asserted are arbitrable, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The arbitration will be conducted by a single arbitrator. The place of arbitration will be New York, New York. The language of the arbitration will be English. Judgment upon the award rendered by the arbitrator may be entered in any court having jurisdiction thereof. The parties waive any right to a jury trial.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_973451,"Any breach of the confidentiality obligations set forth in this Agreement shall constitute a material breach of this Agreement and shall cause Provider irreparable harm. In the event of such breach, Customer shall immediately pay to Provider $1,000,000 as liquidated damages, in addition to any other remedies available to Provider at law or in equity, including without limitation injunctive relief and recovery of all costs and expenses, including reasonable attorneys' fees, incurred by Provider in connection with such breach.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_273898,"THE SERVICES ARE PROVIDED 'AS IS' AND 'AS AVAILABLE' WITHOUT WARRANTY OF ANY KIND, EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO THE IMPLIED WARRANTIES OF MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE, AND NON-INFRINGEMENT. PROVIDER DOES NOT WARRANT THAT THE SERVICES WILL BE UNINTERRUPTED, ERROR-FREE, OR COMPLETELY SECURE. TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, PROVIDER DISCLAIMS ALL WARRANTIES, EXPRESS OR IMPLIED.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_724661,"Service Provider reserves the right to modify the terms and conditions of this Agreement at any time, in its sole discretion, by posting the modified Agreement on Service Provider's website or by providing notice to Customer via email. Customer's continued use of the Services after such modification will constitute Customer's acceptance of the modified terms. If Customer does not agree to the modified terms, Customer must stop using the Services and terminate this Agreement.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_335348,"Provider shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to: (a) Provider's breach of this Agreement; (b) Provider's gross negligence or willful misconduct; (c) any claim that the Services infringe, misappropriate, or violate any third party's intellectual property rights; or (d) Provider's violation of any applicable law, rule, or regulation, in each case without limitation or exception.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_291259,"Vendor will not be liable for any loss, corruption, or unauthorized access to Customer Data, regardless of the cause, including without limitation: (a) system failures or malfunctions; (b) security breaches or cyber attacks; (c) acts of third parties, including hackers; (d) force majeure events; (e) Vendor's negligence; or (f) any other cause. Customer acknowledges that it is solely responsible for maintaining adequate backups of all Customer Data and that Vendor has no obligation to maintain, store, or backup Customer Data. Vendor's liability for any loss of Customer Data is expressly excluded.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_984618,"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, including whether the claims asserted are arbitrable, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The arbitration will be conducted by a single arbitrator. The place of arbitration will be New York, New York. The language of the arbitration will be English. Judgment upon the award rendered by the arbitrator may be entered in any court having jurisdiction thereof. The parties waive any right to a jury trial.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_430212,"Provider shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to: (a) Provider's breach of this Agreement; (b) Provider's gross negligence or willful misconduct; (c) any claim that the Services infringe, misappropriate, or violate any third party's intellectual property rights; or (d) Provider's violation of any applicable law, rule, or regulation, in each case without limitation or exception.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_108814,"Supplier shall indemnify, defend, and hold harmless Customer and its officers, directors, employees, agents, affiliates, successors, and assigns from and against any and all claims, demands, losses, costs, expenses, damages, judgments, penalties, interest, and liabilities (including, without limitation, reasonable attorneys' fees and costs) arising out of or relating to: (a) Supplier's breach of this Contract; (b) Supplier's gross negligence or willful misconduct; (c) any claim that the Services infringe, misappropriate, or violate any third party's intellectual property rights; or (d) Supplier's violation of any applicable law, rule, or regulation, in each case without limitation or exception.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_225812,"Customer's liability to Company for any claims, damages, losses, or expenses arising out of or relating to this Contract or the Services, whether based on contract, tort (including negligence), strict liability, or any other legal theory, shall be unlimited and shall include, without limitation, direct, indirect, incidental, special, consequential, exemplary, and punitive damages, even if Company has been advised of the possibility of such damages. Customer's total liability shall not be limited to the fees paid under this Contract.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_459849,"Any dispute, controversy, or claim arising out of or relating to this Agreement, including the formation, interpretation, breach, or termination thereof, including whether the claims asserted are arbitrable, will be referred to and finally determined by arbitration in accordance with the JAMS Comprehensive Arbitration Rules and Procedures. The arbitration will be conducted by a single arbitrator. The place of arbitration will be New York, New York. The language of the arbitration will be English. Judgment upon the award rendered by the arbitrator may be entered in any court having jurisdiction thereof. The parties waive any right to a jury trial.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_147416,"Customer hereby waives, to the fullest extent permitted by applicable law, any and all rights it may have against Provider, including without limitation: (a) the right to a trial by jury; (b) the right to participate in a class action lawsuit; (c) the right to seek punitive or exemplary damages; (d) the right to seek injunctive relief (except as expressly provided herein); and (e) any other rights that may be available under applicable law. This waiver will survive the termination of this Agreement.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_234237,"Provider may terminate this Agreement immediately, without notice, for any reason or no reason, in its sole discretion, without liability to Customer. Upon such termination, Customer will immediately cease all use of the Services and return or destroy all Confidential Information. Provider will not be required to refund any fees paid by Customer, and Customer will remain liable for all fees accrued through the date of termination.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_661990,"Provider may terminate this Agreement immediately, without notice, for any reason or no reason, in its sole discretion, without liability to Company. Upon such termination, Company will immediately cease all use of the Services and return or destroy all Confidential Information. Provider will not be required to refund any fees paid by Company, and Company will remain liable for all fees accrued through the date of termination.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_493724,"All fees paid by Customer are non-refundable. Customer acknowledges that Provider has no obligation to refund any fees under any circumstances, including but not limited to: (i) termination of this Agreement by either party for any reason; (ii) Customer's dissatisfaction with the Services; (iii) Customer's inability to access or use the Services; (iv) any suspension or termination of Customer's access to the Services; (v) any discontinuation of the Services; or (vi) any other reason. Customer further acknowledges that no credits, reimbursements, or other forms of compensation will be provided.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_826227,"This Contract shall be governed by and construed in accordance with the laws of the State of New York, without regard to its conflict of law principles. Any legal action or proceeding arising under or relating to this Contract shall be brought exclusively in the federal courts of the United States located in the Southern District of New York or the state courts of New York located in New York County, and each party irrevocably submits to the exclusive jurisdiction and venue of such courts. Each party waives any objection to such jurisdiction and venue.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_546390,"Any breach of the confidentiality obligations set forth in this Agreement will constitute a material breach of this Agreement and will cause Provider irreparable harm. In the event of such breach, Customer will immediately pay to Provider $1,000,000 as liquidated damages, in addition to any other remedies available to Provider at law or in equity, including without limitation injunctive relief and recovery of all costs and expenses, including reasonable attorneys' fees, incurred by Provider in connection with such breach.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
contract_831396,"Any breach of the confidentiality obligations set forth in this Contract will constitute a material breach of this Contract and will cause Provider irreparable harm. In the event of such breach, Customer will immediately pay to Provider $1,000,000 as liquidated damages, in addition to any other remedies available to Provider at law or in equity, including without limitation injunctive relief and recovery of all costs and expenses, including reasonable attorneys' fees, incurred by Provider in connection with such breach.",HIGH,"Contains high-risk language including unlimited liability, penalties, automatic renewal, waiver of rights, or other terms that may expose parties to significant legal and financial risk. Review carefully with legal counsel."
