clause_text,label
"The Vendor shall be liable for all damages, losses, and expenses, without limitation, arising from violation.",HIGH
"In the event of non-performance, Client shall provide 60 days written notice to Buyer.",MEDIUM
"The Company shall be liable for all damages, losses, and expenses, without limitation, arising from default.",HIGH
This Agreement may be amended by mutual written consent of both parties.,LOW
"Buyer agrees to indemnify Company for all claims, without limitation, regardless of fault.",HIGH
"Provider's liability shall not exceed USD 5000 or 150% of the contract value, whichever is less.",MEDIUM
"All payments are non-refundable under any circumstances, including termination or breach.",HIGH
Client shall maintain compliance in accordance with best practices.,MEDIUM
Customer shall maintain certifications in accordance with industry standards.,MEDIUM
"This Agreement may be terminated by Provider at any time, for any reason, without notice or liability.",HIGH
The parties agree to resolve disputes through good faith negotiation before pursuing legal action.,LOW
The parties agree to resolve disputes through mediation before pursuing legal action.,LOW
This Agreement shall be governed by the laws of Delaware.,MEDIUM
The parties agree to resolve disputes through mediation before pursuing legal action.,LOW
"In the event of non-performance, Provider shall provide 15 days written notice to Vendor.",MEDIUM
Both parties agree to act in good faith and cooperate in completing the project.,LOW
The parties agree to resolve disputes through good faith negotiation before pursuing legal action.,LOW
Customer shall maintain insurance in accordance with industry standards.,MEDIUM
Vendor shall comply with all applicable laws and regulations.,LOW
Client waives all rights to punitive damages and agrees that Company shall not be liable for any indirect damages.,HIGH
"This Agreement may be terminated by Buyer at any time, for any reason, without notice or liability.",HIGH
"Company's liability shall not exceed INR 50000 or 100% of the contract value, whichever is less.",MEDIUM
"This Agreement may be terminated by Customer at any time, for any reason, without notice or liability.",HIGH
The parties agree to resolve disputes through mediation before pursuing legal action.,LOW
"All payments are non-refundable under any circumstances, including termination or force majeure.",HIGH
This Agreement may be amended by mutual written consent of both parties.,LOW
Vendor shall comply with all applicable laws and regulations.,LOW
"All payments are non-refundable under any circumstances, including dissatisfaction or force majeure.",HIGH
Both parties agree to act in good faith and cooperate in completing the project.,LOW
Client shall provide deliverables in a professional and timely manner.,LOW
Buyer shall maintain certifications in accordance with best practices.,MEDIUM
"All payments are non-refundable under any circumstances, including force majeure or termination.",HIGH
This Agreement shall be governed by the laws of Delaware.,MEDIUM
The parties agree to resolve disputes through arbitration before pursuing legal action.,LOW
Both parties agree to act in good faith and cooperate in completing the project.,LOW
Client waives all rights to class action and agrees that Company shall not be liable for any indirect damages.,HIGH
"Company agrees to indemnify Client for all claims, without limitation, regardless of fault.",HIGH
Customer shall comply with all applicable laws and regulations.,LOW
This Agreement may be amended by mutual written consent of both parties.,LOW
Vendor waives all rights to class action and agrees that Company shall not be liable for any consequential damages.,HIGH
This Agreement shall be governed by the laws of New York.,MEDIUM
"Vendor's liability shall not exceed EUR 4000 or 150% of the contract value, whichever is less.",MEDIUM
Company waives all rights to jury trial and agrees that Client shall not be liable for any consequential damages.,HIGH
"In the event of violation, Client shall provide 15 days written notice to Provider.",MEDIUM
Vendor shall provide products in a professional and timely manner.,LOW
"In the event of violation, Client shall provide 30 days written notice to Company.",MEDIUM
"Provider's liability shall not exceed EUR 4000 or 100% of the contract value, whichever is less.",MEDIUM
Client shall maintain licenses in accordance with applicable laws.,MEDIUM
Provider shall maintain certifications in accordance with industry standards.,MEDIUM
Customer shall maintain insurance in accordance with best practices.,MEDIUM
